2017-12-09 19:18:46,477 INFO:   	load_motion_program_data X_STEP_SIZE 	 P1113=0.15
2017-12-09 19:22:47,685 INFO:   	load_motion_program_data X_STEP_SIZE 	 P1113=0.15
2017-12-09 19:35:53,180 INFO:   	load_motion_program_data X_STEP_SIZE 	 P1113=0.14
2017-12-09 19:43:41,542 INFO:   	load_motion_program_data X_STEP_SIZE 	 P1113=0.14
2017-12-09 19:56:00,304 INFO:   	load_motion_program_data X_STEP_SIZE 	 P1113=0.14
2017-12-09 20:00:10,651 INFO:   	load_motion_program_data X_STEP_SIZE 	 P1113=0.14
2017-12-09 20:21:07,704 INFO:   	load_motion_program_data X_STEP_SIZE 	 P1113=0.14
2017-12-09 20:36:10,779 INFO:   	load_motion_program_data X_STEP_SIZE 	 P1113=0.14
2017-12-09 20:56:00,453 INFO:   	load_motion_program_data X_STEP_SIZE 	 P1113=0.14
2017-12-09 21:21:09,133 INFO:   	load_motion_program_data X_STEP_SIZE 	 P1113=0.14
2017-12-09 21:30:08,928 INFO:   	load_motion_program_data X_STEP_SIZE 	 P1113=0.14
2017-12-09 21:52:23,581 INFO:   	load_motion_program_data X_STEP_SIZE 	 P1113=0.14
2017-12-09 22:01:01,768 INFO:   	load_motion_program_data X_STEP_SIZE 	 P1113=0.14
2017-12-09 22:17:40,261 INFO:   	load_motion_program_data X_STEP_SIZE 	 P1113=0.14
2017-12-09 22:34:25,863 INFO:   	load_motion_program_data X_STEP_SIZE 	 P1113=0.14
2017-12-09 22:41:30,269 INFO:   	load_motion_program_data X_STEP_SIZE 	 P1113=0.14
2017-12-09 23:17:44,655 INFO:   	load_motion_program_data X_STEP_SIZE 	 P1113=0.14
2017-12-09 23:43:07,981 INFO:   	load_motion_program_data X_STEP_SIZE 	 P1113=0.14
2017-12-10 00:03:45,416 INFO:   	load_motion_program_data X_STEP_SIZE 	 P1113=0.14
2017-12-10 00:31:50,272 INFO:   	load_motion_program_data X_STEP_SIZE 	 P1113=0.14
2017-12-10 00:49:36,612 INFO:   	load_motion_program_data X_STEP_SIZE 	 P1113=0.14
2017-12-10 01:08:30,521 INFO:   	load_motion_program_data X_STEP_SIZE 	 P1113=0.14
2017-12-10 01:26:25,596 INFO:   	load_motion_program_data X_STEP_SIZE 	 P1113=0.14
2017-12-10 01:45:23,425 INFO:   	load_motion_program_data X_STEP_SIZE 	 P1113=0.14
2017-12-10 02:10:20,112 INFO:   	load_motion_program_data X_STEP_SIZE 	 P1113=0.14
2017-12-10 02:27:22,667 INFO:   	load_motion_program_data X_STEP_SIZE 	 P1113=0.14
2017-12-10 02:54:34,995 INFO:   	load_motion_program_data X_STEP_SIZE 	 P1113=0.14
2017-12-10 03:00:23,786 INFO:   	load_motion_program_data X_STEP_SIZE 	 P1113=0.14
2017-12-10 03:16:28,267 INFO:   	load_motion_program_data X_STEP_SIZE 	 P1113=0.14
2017-12-10 03:36:23,401 INFO:   	load_motion_program_data X_STEP_SIZE 	 P1113=0.14
2017-12-10 03:54:42,845 INFO:   	load_motion_program_data X_STEP_SIZE 	 P1113=0.14
2017-12-10 04:13:01,469 INFO:   	load_motion_program_data X_STEP_SIZE 	 P1113=0.14
2017-12-10 04:29:14,827 INFO:   	load_motion_program_data X_STEP_SIZE 	 P1113=0.14
2017-12-10 04:44:51,455 INFO:   	load_motion_program_data X_STEP_SIZE 	 P1113=0.14
2017-12-10 05:02:09,306 INFO:   	load_motion_program_data X_STEP_SIZE 	 P1113=0.14
2017-12-10 05:21:15,499 INFO:   	load_motion_program_data X_STEP_SIZE 	 P1113=0.14
2017-12-10 05:36:59,541 INFO:   	load_motion_program_data X_STEP_SIZE 	 P1113=0.14
2017-12-10 05:53:46,668 INFO:   	load_motion_program_data X_STEP_SIZE 	 P1113=0.14
2017-12-10 06:11:12,670 INFO:   	load_motion_program_data X_STEP_SIZE 	 P1113=0.14
2017-12-10 06:27:03,574 INFO:   	load_motion_program_data X_STEP_SIZE 	 P1113=0.14
2017-12-10 06:42:31,099 INFO:   	load_motion_program_data X_STEP_SIZE 	 P1113=0.14
2017-12-10 07:00:21,919 INFO:   	load_motion_program_data X_STEP_SIZE 	 P1113=0.14
