2017-12-09 19:03:47,679 INFO:   	load_motion_program_data Y_STEP_SIZE 	 P1114=0.5
2017-12-09 19:13:44,854 INFO:   	load_motion_program_data Y_STEP_SIZE 	 P1114=0.5
2017-12-09 19:18:46,909 INFO:   	load_motion_program_data Y_STEP_SIZE 	 P1114=0.5
2017-12-09 19:22:48,116 INFO:   	load_motion_program_data Y_STEP_SIZE 	 P1114=0.5
2017-12-09 19:35:53,612 INFO:   	load_motion_program_data Y_STEP_SIZE 	 P1114=0.25
2017-12-09 19:43:41,976 INFO:   	load_motion_program_data Y_STEP_SIZE 	 P1114=0.25
2017-12-09 19:56:00,731 INFO:   	load_motion_program_data Y_STEP_SIZE 	 P1114=0.25
2017-12-09 20:00:11,078 INFO:   	load_motion_program_data Y_STEP_SIZE 	 P1114=0.25
2017-12-09 20:21:08,131 INFO:   	load_motion_program_data Y_STEP_SIZE 	 P1114=0.25
2017-12-09 20:36:11,205 INFO:   	load_motion_program_data Y_STEP_SIZE 	 P1114=0.25
2017-12-09 20:56:00,885 INFO:   	load_motion_program_data Y_STEP_SIZE 	 P1114=0.25
2017-12-09 21:21:09,566 INFO:   	load_motion_program_data Y_STEP_SIZE 	 P1114=0.25
2017-12-09 21:30:09,355 INFO:   	load_motion_program_data Y_STEP_SIZE 	 P1114=0.25
2017-12-09 21:52:24,007 INFO:   	load_motion_program_data Y_STEP_SIZE 	 P1114=0.25
2017-12-09 22:01:02,193 INFO:   	load_motion_program_data Y_STEP_SIZE 	 P1114=0.25
2017-12-09 22:17:40,698 INFO:   	load_motion_program_data Y_STEP_SIZE 	 P1114=0.25
2017-12-09 22:34:26,295 INFO:   	load_motion_program_data Y_STEP_SIZE 	 P1114=0.25
2017-12-09 22:41:30,702 INFO:   	load_motion_program_data Y_STEP_SIZE 	 P1114=0.25
2017-12-09 23:17:45,087 INFO:   	load_motion_program_data Y_STEP_SIZE 	 P1114=0.25
2017-12-09 23:43:08,414 INFO:   	load_motion_program_data Y_STEP_SIZE 	 P1114=0.25
2017-12-10 00:03:45,843 INFO:   	load_motion_program_data Y_STEP_SIZE 	 P1114=0.25
2017-12-10 00:31:50,697 INFO:   	load_motion_program_data Y_STEP_SIZE 	 P1114=0.25
2017-12-10 00:49:37,047 INFO:   	load_motion_program_data Y_STEP_SIZE 	 P1114=0.25
2017-12-10 01:08:30,955 INFO:   	load_motion_program_data Y_STEP_SIZE 	 P1114=0.25
2017-12-10 01:26:26,029 INFO:   	load_motion_program_data Y_STEP_SIZE 	 P1114=0.25
2017-12-10 01:45:23,851 INFO:   	load_motion_program_data Y_STEP_SIZE 	 P1114=0.25
2017-12-10 02:10:20,544 INFO:   	load_motion_program_data Y_STEP_SIZE 	 P1114=0.25
2017-12-10 02:27:23,094 INFO:   	load_motion_program_data Y_STEP_SIZE 	 P1114=0.25
2017-12-10 02:54:35,427 INFO:   	load_motion_program_data Y_STEP_SIZE 	 P1114=0.25
2017-12-10 03:00:24,214 INFO:   	load_motion_program_data Y_STEP_SIZE 	 P1114=0.25
2017-12-10 03:16:28,695 INFO:   	load_motion_program_data Y_STEP_SIZE 	 P1114=0.25
2017-12-10 03:36:23,828 INFO:   	load_motion_program_data Y_STEP_SIZE 	 P1114=0.25
2017-12-10 03:54:43,271 INFO:   	load_motion_program_data Y_STEP_SIZE 	 P1114=0.25
2017-12-10 04:13:01,896 INFO:   	load_motion_program_data Y_STEP_SIZE 	 P1114=0.25
2017-12-10 04:29:15,253 INFO:   	load_motion_program_data Y_STEP_SIZE 	 P1114=0.25
2017-12-10 04:44:51,888 INFO:   	load_motion_program_data Y_STEP_SIZE 	 P1114=0.25
2017-12-10 05:02:09,735 INFO:   	load_motion_program_data Y_STEP_SIZE 	 P1114=0.25
2017-12-10 05:21:15,933 INFO:   	load_motion_program_data Y_STEP_SIZE 	 P1114=0.25
2017-12-10 05:36:59,974 INFO:   	load_motion_program_data Y_STEP_SIZE 	 P1114=0.25
2017-12-10 05:53:47,095 INFO:   	load_motion_program_data Y_STEP_SIZE 	 P1114=0.25
2017-12-10 06:11:13,099 INFO:   	load_motion_program_data Y_STEP_SIZE 	 P1114=0.25
2017-12-10 06:27:04,004 INFO:   	load_motion_program_data Y_STEP_SIZE 	 P1114=0.25
2017-12-10 06:42:31,528 INFO:   	load_motion_program_data Y_STEP_SIZE 	 P1114=0.25
2017-12-10 07:00:22,352 INFO:   	load_motion_program_data Y_STEP_SIZE 	 P1114=0.25
2017-12-10 07:17:24,504 INFO:   	load_motion_program_data Y_STEP_SIZE 	 P1114=0.25
2017-12-10 07:33:17,595 INFO:   	load_motion_program_data Y_STEP_SIZE 	 P1114=0.25
2017-12-10 07:49:14,416 INFO:   	load_motion_program_data Y_STEP_SIZE 	 P1114=0.25
2017-12-10 08:06:19,068 INFO:   	load_motion_program_data Y_STEP_SIZE 	 P1114=0.25
2017-12-10 08:23:47,590 INFO:   	load_motion_program_data Y_STEP_SIZE 	 P1114=0.25
2017-12-10 08:40:33,375 INFO:   	load_motion_program_data Y_STEP_SIZE 	 P1114=0.25
2017-12-10 08:58:16,424 INFO:   	load_motion_program_data Y_STEP_SIZE 	 P1114=0.25
2017-12-10 09:16:43,834 INFO:   	load_motion_program_data Y_STEP_SIZE 	 P1114=0.25
2017-12-10 09:32:48,940 INFO:   	load_motion_program_data Y_STEP_SIZE 	 P1114=0.25
2017-12-10 09:49:09,082 INFO:   	load_motion_program_data Y_STEP_SIZE 	 P1114=0.25
2017-12-10 09:50:32,500 INFO:   	load_motion_program_data Y_STEP_SIZE 	 P1114=0.25
2017-12-10 10:06:00,549 INFO:   	load_motion_program_data Y_STEP_SIZE 	 P1114=0.25
2017-12-10 10:26:32,111 INFO:   	load_motion_program_data Y_STEP_SIZE 	 P1114=0.25
2017-12-10 10:43:58,458 INFO:   	load_motion_program_data Y_STEP_SIZE 	 P1114=0.25
