2017-12-09 19:22:47,944 INFO:   	load_motion_program_data Y_NUM_STEPS 	 P1112=54
2017-12-09 19:35:53,439 INFO:   	load_motion_program_data Y_NUM_STEPS 	 P1112=54
2017-12-09 19:43:41,803 INFO:   	load_motion_program_data Y_NUM_STEPS 	 P1112=54
2017-12-09 19:56:00,560 INFO:   	load_motion_program_data Y_NUM_STEPS 	 P1112=108
2017-12-09 20:00:10,907 INFO:   	load_motion_program_data Y_NUM_STEPS 	 P1112=104
2017-12-09 20:21:07,961 INFO:   	load_motion_program_data Y_NUM_STEPS 	 P1112=106
2017-12-09 20:36:11,034 INFO:   	load_motion_program_data Y_NUM_STEPS 	 P1112=106
2017-12-09 20:56:00,712 INFO:   	load_motion_program_data Y_NUM_STEPS 	 P1112=106
2017-12-09 21:21:09,393 INFO:   	load_motion_program_data Y_NUM_STEPS 	 P1112=58
2017-12-09 21:30:09,185 INFO:   	load_motion_program_data Y_NUM_STEPS 	 P1112=58
2017-12-09 21:52:23,837 INFO:   	load_motion_program_data Y_NUM_STEPS 	 P1112=56
2017-12-09 22:01:02,024 INFO:   	load_motion_program_data Y_NUM_STEPS 	 P1112=56
2017-12-09 22:17:40,521 INFO:   	load_motion_program_data Y_NUM_STEPS 	 P1112=56
2017-12-09 22:34:26,121 INFO:   	load_motion_program_data Y_NUM_STEPS 	 P1112=56
2017-12-09 22:41:30,530 INFO:   	load_motion_program_data Y_NUM_STEPS 	 P1112=56
2017-12-09 23:17:44,915 INFO:   	load_motion_program_data Y_NUM_STEPS 	 P1112=108
2017-12-09 23:43:08,240 INFO:   	load_motion_program_data Y_NUM_STEPS 	 P1112=108
2017-12-10 00:03:45,673 INFO:   	load_motion_program_data Y_NUM_STEPS 	 P1112=108
2017-12-10 00:31:50,527 INFO:   	load_motion_program_data Y_NUM_STEPS 	 P1112=108
2017-12-10 00:49:36,872 INFO:   	load_motion_program_data Y_NUM_STEPS 	 P1112=108
2017-12-10 01:08:30,781 INFO:   	load_motion_program_data Y_NUM_STEPS 	 P1112=108
2017-12-10 01:26:25,856 INFO:   	load_motion_program_data Y_NUM_STEPS 	 P1112=108
2017-12-10 01:45:23,680 INFO:   	load_motion_program_data Y_NUM_STEPS 	 P1112=108
2017-12-10 02:10:20,371 INFO:   	load_motion_program_data Y_NUM_STEPS 	 P1112=108
2017-12-10 02:27:22,923 INFO:   	load_motion_program_data Y_NUM_STEPS 	 P1112=108
2017-12-10 02:54:35,255 INFO:   	load_motion_program_data Y_NUM_STEPS 	 P1112=108
2017-12-10 03:00:24,043 INFO:   	load_motion_program_data Y_NUM_STEPS 	 P1112=108
2017-12-10 03:16:28,524 INFO:   	load_motion_program_data Y_NUM_STEPS 	 P1112=108
2017-12-10 03:36:23,656 INFO:   	load_motion_program_data Y_NUM_STEPS 	 P1112=108
2017-12-10 03:54:43,102 INFO:   	load_motion_program_data Y_NUM_STEPS 	 P1112=108
2017-12-10 04:13:01,726 INFO:   	load_motion_program_data Y_NUM_STEPS 	 P1112=108
2017-12-10 04:29:15,082 INFO:   	load_motion_program_data Y_NUM_STEPS 	 P1112=108
2017-12-10 04:44:51,712 INFO:   	load_motion_program_data Y_NUM_STEPS 	 P1112=108
2017-12-10 05:02:09,563 INFO:   	load_motion_program_data Y_NUM_STEPS 	 P1112=108
2017-12-10 05:21:15,760 INFO:   	load_motion_program_data Y_NUM_STEPS 	 P1112=108
2017-12-10 05:36:59,801 INFO:   	load_motion_program_data Y_NUM_STEPS 	 P1112=108
2017-12-10 05:53:46,924 INFO:   	load_motion_program_data Y_NUM_STEPS 	 P1112=108
2017-12-10 06:11:12,927 INFO:   	load_motion_program_data Y_NUM_STEPS 	 P1112=108
2017-12-10 06:27:03,832 INFO:   	load_motion_program_data Y_NUM_STEPS 	 P1112=108
2017-12-10 06:42:31,357 INFO:   	load_motion_program_data Y_NUM_STEPS 	 P1112=108
2017-12-10 07:00:22,179 INFO:   	load_motion_program_data Y_NUM_STEPS 	 P1112=108
2017-12-10 07:17:24,330 INFO:   	load_motion_program_data Y_NUM_STEPS 	 P1112=108
2017-12-10 07:33:17,420 INFO:   	load_motion_program_data Y_NUM_STEPS 	 P1112=108
2017-12-10 07:49:14,244 INFO:   	load_motion_program_data Y_NUM_STEPS 	 P1112=108
2017-12-10 08:06:18,895 INFO:   	load_motion_program_data Y_NUM_STEPS 	 P1112=108
2017-12-10 08:23:47,415 INFO:   	load_motion_program_data Y_NUM_STEPS 	 P1112=108
2017-12-10 08:40:33,204 INFO:   	load_motion_program_data Y_NUM_STEPS 	 P1112=108
2017-12-10 08:58:16,253 INFO:   	load_motion_program_data Y_NUM_STEPS 	 P1112=108
2017-12-10 09:16:43,663 INFO:   	load_motion_program_data Y_NUM_STEPS 	 P1112=108
2017-12-10 09:32:48,767 INFO:   	load_motion_program_data Y_NUM_STEPS 	 P1112=108
2017-12-10 09:49:08,910 INFO:   	load_motion_program_data Y_NUM_STEPS 	 P1112=108
2017-12-10 09:50:32,327 INFO:   	load_motion_program_data Y_NUM_STEPS 	 P1112=108
2017-12-10 10:06:00,377 INFO:   	load_motion_program_data Y_NUM_STEPS 	 P1112=108
2017-12-10 10:26:31,940 INFO:   	load_motion_program_data Y_NUM_STEPS 	 P1112=108
2017-12-10 10:43:58,284 INFO:   	load_motion_program_data Y_NUM_STEPS 	 P1112=108
